symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
ACTG,182.0,,,3.15,303801759.0,0.4719,65.0,0.3814,38.0,0.5323,35.0,,,,,0.4436,36.0,0.4272,33.0,0.5323,36.0,,,,,20251121.0,35.0,189.0,
ACVA,204.0,,,10.43,1868701435.0,0.5232,62.0,0.4172,43.0,0.4702,19.0,0.4652,16.0,0.4602,16.0,0.5259,57.0,0.4509,48.0,0.5599,42.0,0.5638,40.0,0.5678,40.0,20251121.0,35.0,189.0,1.2119518486672398
ACWI,,,,135.22,,0.0705,15.0,0.0689,27.0,0.1116,35.0,0.1249,41.0,0.1382,48.0,0.2074,76.0,0.1578,79.0,0.1254,46.0,0.1488,38.0,0.1723,28.0,20270115.0,35.0,609.0,1.1913530824659726
ACWV,,,,119.57,,0.0208,1.0,0.0452,13.0,0.1695,91.0,0.1332,75.0,0.0969,33.0,0.1322,73.0,0.1089,75.0,0.0861,50.0,0.105,34.0,0.124,16.0,20260116.0,35.0,245.0,0.7882882882882882
ACWX,,,,63.76,,0.0821,16.0,0.0574,17.0,0.118,31.0,0.1192,19.0,0.1205,16.0,0.1862,62.0,0.1216,72.0,0.1102,18.0,0.1238,7.0,0.1374,7.0,20251219.0,35.0,217.0,1.0385906040268456
AD,,,,51.01,4406197950.0,0.1792,,0.2199,,0.4797,,0.3964,,0.3132,,0.0,,0.0,,0.346,,0.3394,,0.3327,,,,,0.8562058526740666
ADAP,302.0,,,0.05,13464641.0,1.7883,98.0,1.4238,96.0,,,,,,,2.2406,100.0,1.29,95.0,,,,,,,20251219.0,35.0,217.0,
ADBE,183.0,,,350.16,150345393890.0,0.3162,66.0,0.3039,76.0,0.7577,99.0,0.7597,99.0,0.7616,99.0,0.2973,45.0,0.2544,50.0,0.3706,83.0,0.3742,84.0,0.3779,83.0,20271217.0,7.0,945.0,0.4925628537580623
ADC,212.0,,,71.97,7989677716.0,0.1204,22.0,0.1106,2.0,0.1896,28.0,0.1904,17.0,0.1912,18.0,0.1862,40.0,0.1845,36.0,0.2117,55.0,0.1942,26.0,0.1767,6.0,20260116.0,35.0,245.0,1.0199579831932772
ADCT,308.0,,,3.23,363371772.0,0.654,65.0,0.592,57.0,3.676,100.0,2.5616,100.0,1.4471,97.0,0.9523,82.0,0.8691,89.0,3.676,100.0,2.5616,100.0,1.4471,99.0,20260116.0,35.0,245.0,1.0
ADEA,205.0,,,15.11,1652565552.0,0.2067,15.0,0.2245,11.0,,,,,0.435,6.0,0.4283,55.0,0.3577,49.0,,,,,0.435,5.0,20251219.0,35.0,217.0,
ADI,204.0,,,247.21,121616200831.0,0.1322,10.0,0.1859,26.0,0.2657,43.0,0.2636,40.0,0.2616,38.0,0.4445,89.0,0.3461,87.0,0.2694,47.0,0.296,52.0,0.3225,53.0,20270617.0,7.0,762.0,1.1229135053110773
ADM,219.0,,,61.41,29505294167.0,0.1585,27.0,0.2303,65.0,0.2556,56.0,0.2589,56.0,0.2621,56.0,0.2895,70.0,0.2604,77.0,0.2298,39.0,0.2741,59.0,0.3184,72.0,20270115.0,7.0,609.0,1.0587099266125917
ADMA,192.0,,,15.76,3760824741.0,0.2439,5.0,0.3267,7.0,0.5214,9.0,0.4954,6.0,0.4693,4.0,0.5519,26.0,0.5344,28.0,0.5123,5.0,0.5136,3.0,0.515,4.0,20270115.0,35.0,609.0,1.0367379895034314
ADNT,226.0,,,23.69,1924715509.0,0.1679,6.0,0.2428,12.0,0.5457,57.0,0.506,50.0,0.4664,42.0,0.5447,56.0,0.4635,61.0,0.4702,44.0,0.4726,44.0,0.475,43.0,20260116.0,35.0,245.0,0.93399209486166
ADP,225.0,,,292.39,118430531042.0,0.173,54.0,0.1862,67.0,0.1536,26.0,0.1882,53.0,0.2229,69.0,0.2175,69.0,0.2041,71.0,0.21,55.0,0.2057,37.0,0.2014,21.0,20270115.0,7.0,609.0,1.0929861849096705
ADPT,212.0,,,12.42,1891243092.0,0.241,3.0,0.427,11.0,0.9824,72.0,0.9214,65.0,0.8604,57.0,0.6773,35.0,0.6639,44.0,0.9205,80.0,0.8566,75.0,0.7928,65.0,20260116.0,35.0,245.0,0.9296722378988496
ADSE,,,,9.6,526466901.0,0.738,89.0,0.7806,79.0,,,,,1.1572,,0.6899,100.0,0.7797,100.0,,,,,1.1692,,20251121.0,35.0,189.0,
ADSK,196.0,,,323.8,68969397400.0,0.1598,12.0,0.1918,16.0,0.2119,2.0,0.21,2.0,0.2081,2.0,0.3179,39.0,0.2544,30.0,0.2992,3.0,0.3026,2.0,0.3059,3.0,20270617.0,7.0,762.0,1.440952380952381
ADT,196.0,,,8.6,7052697119.0,0.1865,18.0,0.153,4.0,0.2751,19.0,0.2693,16.0,0.2635,15.0,0.2618,14.0,0.2538,20.0,0.2769,21.0,0.2706,8.0,0.2643,5.0,20251121.0,35.0,189.0,1.0048273301151134
ADTN,308.0,,,10.34,827739760.0,0.3468,55.0,0.4416,79.0,0.5895,88.0,0.604,89.0,0.6186,90.0,0.5578,87.0,0.4801,89.0,0.4781,81.0,0.4912,81.0,0.5044,81.0,20251121.0,35.0,189.0,0.8132450331125829
ADUR,,,,12.81,395704756.0,0.8723,,0.8318,,0.7655,,0.7758,,0.7861,,0.9176,,0.8298,,0.7974,,0.8243,,0.8512,,,,,1.062516112400103
ADUS,199.0,,,110.27,2029761882.0,0.2406,34.0,0.2821,43.0,0.3346,30.0,0.3013,16.0,0.268,9.0,0.3041,23.0,0.3099,22.0,0.2754,10.0,0.2685,8.0,0.2617,5.0,20260116.0,35.0,245.0,0.8911384002655162
ADV,188.0,,,1.84,599742506.0,0.6987,75.0,0.5395,49.0,,,,,,,1.015,100.0,0.9261,100.0,,,,,,,20251121.0,35.0,189.0,
ADVM,311.0,,,3.31,69457701.0,0.8729,79.0,0.7448,60.0,2.116,91.0,,,,,0.9318,75.0,0.9579,87.0,2.8244,97.0,,,,,20251219.0,35.0,217.0,
AEE,210.0,,,99.29,26849007559.0,0.0923,14.0,0.1056,11.0,0.1892,57.0,0.1753,36.0,0.1614,20.0,0.1765,49.0,0.1833,62.0,0.1528,33.0,0.1672,30.0,0.1816,31.0,20260116.0,35.0,245.0,0.9537934968625212
AEG,945.0,,,7.65,11991528149.0,0.264,48.0,0.1169,17.0,,,,,0.3051,30.0,0.3077,52.0,0.1958,63.0,,,,,0.3051,28.0,20260116.0,35.0,245.0,
AEHR,241.0,,,26.4,789758629.0,0.6438,31.0,0.762,54.0,0.9426,66.0,0.9452,65.0,0.9478,65.0,1.0358,79.0,0.786,54.0,0.8646,65.0,0.8904,68.0,0.9163,74.0,20270115.0,35.0,609.0,0.9420228523063902
AEIS,211.0,,,157.25,5931470000.0,0.3174,36.0,0.2463,13.0,0.4072,37.0,0.3792,26.0,0.3512,18.0,0.5216,71.0,0.4159,59.0,0.3841,28.0,0.389,30.0,0.3939,31.0,20260116.0,35.0,245.0,1.02584388185654
AEM,210.0,,,152.82,77117406253.0,0.2161,13.0,0.2361,21.0,0.3341,30.0,0.333,28.0,0.332,28.0,0.3743,40.0,0.2951,35.0,0.3517,26.0,0.353,25.0,0.3544,23.0,20270617.0,7.0,762.0,1.06006006006006
AEO,183.0,,,19.25,3335409000.0,1.9274,100.0,0.643,95.0,0.576,82.0,0.5777,82.0,0.5794,82.0,0.8469,99.0,0.5648,93.0,0.5315,90.0,0.5708,92.0,0.61,91.0,20270115.0,7.0,609.0,0.9880560844729098
AEP,210.0,,,108.33,57937016702.0,0.1033,19.0,0.1745,61.0,0.1804,57.0,0.185,57.0,0.1896,54.0,0.1863,60.0,0.1775,57.0,0.1336,20.0,0.1821,30.0,0.2306,53.0,20270115.0,35.0,609.0,0.9843243243243244
AER,197.0,,,121.43,21652183354.0,0.1375,15.0,0.2024,28.0,0.248,26.0,0.247,25.0,0.2459,24.0,0.2731,35.0,0.2402,33.0,0.2403,12.0,0.2498,15.0,0.2593,18.0,20270115.0,35.0,609.0,1.011336032388664
AES,195.0,,,12.73,9064395970.0,0.2177,36.0,0.347,76.0,0.5108,88.0,0.5042,86.0,0.4976,86.0,0.5372,88.0,0.4027,86.0,0.3314,61.0,0.3938,74.0,0.4563,83.0,20270115.0,7.0,609.0,0.7810392701309005
AESI,199.0,,,10.66,1769527909.0,0.41,62.0,0.3885,64.0,0.5187,79.0,0.5632,84.0,0.6077,84.0,0.5737,93.0,0.4849,88.0,0.4428,82.0,0.5091,86.0,0.5754,89.0,20260116.0,35.0,245.0,0.9039417613636364
AETH,,,,52.06,,0.1025,12.0,0.122,52.0,0.6387,54.0,0.63,28.0,0.6212,18.0,0.5828,46.0,0.2355,55.0,0.5385,39.0,0.6228,40.0,0.7071,63.0,20251219.0,35.0,217.0,0.9885714285714284
AEVA,176.0,,,14.29,804922831.0,0.7388,47.0,0.7177,40.0,1.0572,74.0,1.0718,79.0,1.0863,82.0,1.3133,100.0,1.1371,100.0,0.9898,76.0,1.0141,79.0,1.0385,81.0,20270115.0,35.0,609.0,0.9461653293524912
AEYE,183.0,,,12.9,160058035.0,0.582,32.0,0.6283,28.0,0.8514,26.0,0.7106,1.0,0.5698,1.0,0.717,4.0,0.7161,4.0,0.8638,33.0,0.826,13.0,0.7883,8.0,20251219.0,35.0,217.0,1.1623979735434844
AFCG,182.0,,,4.5,101675250.0,0.6525,95.0,0.6452,98.0,,,,,0.8765,86.0,0.678,100.0,0.5612,100.0,,,,,0.8765,99.0,20260116.0,35.0,245.0,
AFG,219.0,,,137.19,11440891110.0,0.1494,40.0,0.1414,39.0,0.2104,50.0,0.2043,44.0,0.1982,37.0,0.2576,70.0,0.2187,69.0,0.2233,60.0,0.2393,64.0,0.2553,68.0,20251219.0,35.0,217.0,1.1713166911404798
AFK,,,,23.07,,0.1037,9.0,0.1542,28.0,0.2098,,0.347,,0.4842,95.0,0.2376,77.0,0.2263,94.0,0.2098,,0.249,,0.2881,38.0,20251219.0,35.0,217.0,0.7175792507204611
AFL,218.0,,,107.23,57349930783.0,0.1906,54.0,0.1766,53.0,0.1556,21.0,0.1634,23.0,0.1711,26.0,0.241,66.0,0.2171,67.0,0.1742,27.0,0.2082,42.0,0.2421,49.0,20270115.0,7.0,609.0,1.2741738066095472
AFRM,217.0,,,84.87,27637915037.0,0.7228,45.0,0.5536,25.0,0.5493,5.0,0.545,4.0,0.5406,3.0,0.7909,27.0,0.6249,24.0,0.6276,6.0,0.63,8.0,0.6324,9.0,20270115.0,7.0,609.0,1.1559633027522935
AFYA,182.0,,,15.19,1379419052.0,0.315,37.0,0.3898,43.0,,,,,,,0.3188,8.0,0.3191,19.0,,,,,,,20251219.0,35.0,217.0,
AG,203.0,,,9.43,4632412059.0,0.5621,57.0,0.4765,57.0,0.564,55.0,0.5866,63.0,0.6093,69.0,0.6023,53.0,0.5127,60.0,0.5929,50.0,0.596,51.0,0.5991,51.0,20270115.0,7.0,609.0,1.0160245482441186
